Model,Precision,Attention,H_KV,B_token,1 GB,2 GB,4 GB,8 GB,16 GB,32 GB,64 GB,128 GB,256 GB,512 GB
llama3-1B,INT8/FP8,GQA,8,32768,155,310,619,1239,2477,4954,9908,19816,39632,79264
llama3-8B,INT8/FP8,GQA,8,131072,nan,nan,nan,310,619,1239,2477,4954,9908,19816
llama3-70B,INT8/FP8,GQA,8,1310720,nan,nan,nan,nan,nan,nan,nan,495,991,1982
llama3-405B,INT8/FP8,GQA,8,2064384,nan,nan,nan,nan,nan,nan,nan,nan,nan,1258
llama3-1B,INT8/FP8,MHA,64,262144,19,39,77,155,310,619,1239,2477,4954,9908
llama3-8B,INT8/FP8,MHA,128,2097152,nan,nan,nan,19,39,77,155,310,619,1239
llama3-70B,INT8/FP8,MHA,64,10485760,nan,nan,nan,nan,nan,nan,nan,62,124,248
llama3-405B,INT8/FP8,MHA,128,33030144,nan,nan,nan,nan,nan,nan,nan,nan,nan,79
llama3-1B,INT8/FP8,MQA,1,4096,1239,2477,4954,9908,19816,39632,79264,158529,317058,634115
llama3-8B,INT8/FP8,MQA,1,16384,nan,nan,nan,2477,4954,9908,19816,39632,79264,158529
llama3-70B,INT8/FP8,MQA,1,163840,nan,nan,nan,nan,nan,nan,nan,3963,7926,15853
llama3-405B,INT8/FP8,MQA,1,258048,nan,nan,nan,nan,nan,nan,nan,nan,nan,10065
llama3-1B,BF16/FP16,GQA,8,65536,77,155,310,619,1239,2477,4954,9908,19816,39632
llama3-8B,BF16/FP16,GQA,8,262144,nan,nan,nan,155,310,619,1239,2477,4954,9908
llama3-70B,BF16/FP16,GQA,8,2621440,nan,nan,nan,nan,nan,nan,nan,248,495,991
llama3-405B,BF16/FP16,GQA,8,4128768,nan,nan,nan,nan,nan,nan,nan,nan,nan,629
llama3-1B,BF16/FP16,MHA,64,524288,10,19,39,77,155,310,619,1239,2477,4954
llama3-8B,BF16/FP16,MHA,128,4194304,nan,nan,nan,10,19,39,77,155,310,619
llama3-70B,BF16/FP16,MHA,64,20971520,nan,nan,nan,nan,nan,nan,nan,31,62,124
llama3-405B,BF16/FP16,MHA,128,66060288,nan,nan,nan,nan,nan,nan,nan,nan,nan,39
llama3-1B,BF16/FP16,MQA,1,8192,619,1239,2477,4954,9908,19816,39632,79264,158529,317058
llama3-8B,BF16/FP16,MQA,1,32768,nan,nan,nan,1239,2477,4954,9908,19816,39632,79264
llama3-70B,BF16/FP16,MQA,1,327680,nan,nan,nan,nan,nan,nan,nan,1982,3963,7926
llama3-405B,BF16/FP16,MQA,1,516096,nan,nan,nan,nan,nan,nan,nan,nan,nan,5033
llama3-1B,FP32,GQA,8,131072,39,77,155,310,619,1239,2477,4954,9908,19816
llama3-8B,FP32,GQA,8,524288,nan,nan,nan,77,155,310,619,1239,2477,4954
llama3-70B,FP32,GQA,8,5242880,nan,nan,nan,nan,nan,nan,nan,124,248,495
llama3-405B,FP32,GQA,8,8257536,nan,nan,nan,nan,nan,nan,nan,nan,nan,315
llama3-1B,FP32,MHA,64,1048576,5,10,19,39,77,155,310,619,1239,2477
llama3-8B,FP32,MHA,128,8388608,nan,nan,nan,5,10,19,39,77,155,310
llama3-70B,FP32,MHA,64,41943040,nan,nan,nan,nan,nan,nan,nan,15,31,62
llama3-405B,FP32,MHA,128,132120576,nan,nan,nan,nan,nan,nan,nan,nan,nan,20
llama3-1B,FP32,MQA,1,16384,310,619,1239,2477,4954,9908,19816,39632,79264,158529
llama3-8B,FP32,MQA,1,65536,nan,nan,nan,619,1239,2477,4954,9908,19816,39632
llama3-70B,FP32,MQA,1,655360,nan,nan,nan,nan,nan,nan,nan,991,1982,3963
llama3-405B,FP32,MQA,1,1032192,nan,nan,nan,nan,nan,nan,nan,nan,nan,2516
