Model,Precision,Attention,H_KV,B_token,1 GB,2 GB,4 GB,8 GB,16 GB,32 GB,64 GB,128 GB,256 GB,512 GB
llama3-1B,INT8/FP8,GQA,8,32768,1548133322765,3096266645529,6192533291059,12385066582118,24770133164236,49540266328472,99080532656944,198161065313887,396322130627774,792644261255548
llama3-8B,INT8/FP8,GQA,8,131072,nan,nan,nan,3096266645529,6192533291059,12385066582118,24770133164236,49540266328472,99080532656944,198161065313887
llama3-70B,INT8/FP8,GQA,8,1310720,nan,nan,nan,nan,nan,nan,nan,4954026632847,9908053265694,19816106531389
llama3-405B,INT8/FP8,GQA,8,2064384,nan,nan,nan,nan,nan,nan,nan,nan,nan,12581654940564
llama3-1B,INT8/FP8,MHA,64,262144,193516665346,387033330691,774066661382,1548133322765,3096266645529,6192533291059,12385066582118,24770133164236,49540266328472,99080532656944
llama3-8B,INT8/FP8,MHA,128,2097152,nan,nan,nan,193516665346,387033330691,774066661382,1548133322765,3096266645529,6192533291059,12385066582118
llama3-70B,INT8/FP8,MHA,64,10485760,nan,nan,nan,nan,nan,nan,nan,619253329106,1238506658212,2477013316424
llama3-405B,INT8/FP8,MHA,128,33030144,nan,nan,nan,nan,nan,nan,nan,nan,nan,786353433785
llama3-1B,INT8/FP8,MQA,1,4096,12385066582118,24770133164236,49540266328472,99080532656944,198161065313887,396322130627774,792644261255548,1585288522511097,3170577045022194,6341154090044388
llama3-8B,INT8/FP8,MQA,1,16384,nan,nan,nan,24770133164236,49540266328472,99080532656944,198161065313887,396322130627774,792644261255548,1585288522511097
llama3-70B,INT8/FP8,MQA,1,163840,nan,nan,nan,nan,nan,nan,nan,39632213062777,79264426125555,158528852251110
llama3-405B,INT8/FP8,MQA,1,258048,nan,nan,nan,nan,nan,nan,nan,nan,nan,100653239524514
llama3-1B,BF16/FP16,GQA,8,65536,774066661382,1548133322765,3096266645529,6192533291059,12385066582118,24770133164236,49540266328472,99080532656944,198161065313887,396322130627774
llama3-8B,BF16/FP16,GQA,8,262144,nan,nan,nan,1548133322765,3096266645529,6192533291059,12385066582118,24770133164236,49540266328472,99080532656944
llama3-70B,BF16/FP16,GQA,8,2621440,nan,nan,nan,nan,nan,nan,nan,2477013316424,4954026632847,9908053265694
llama3-405B,BF16/FP16,GQA,8,4128768,nan,nan,nan,nan,nan,nan,nan,nan,nan,6290827470282
llama3-1B,BF16/FP16,MHA,64,524288,96758332673,193516665346,387033330691,774066661382,1548133322765,3096266645529,6192533291059,12385066582118,24770133164236,49540266328472
llama3-8B,BF16/FP16,MHA,128,4194304,nan,nan,nan,96758332673,193516665346,387033330691,774066661382,1548133322765,3096266645529,6192533291059
llama3-70B,BF16/FP16,MHA,64,20971520,nan,nan,nan,nan,nan,nan,nan,309626664553,619253329106,1238506658212
llama3-405B,BF16/FP16,MHA,128,66060288,nan,nan,nan,nan,nan,nan,nan,nan,nan,393176716893
llama3-1B,BF16/FP16,MQA,1,8192,6192533291059,12385066582118,24770133164236,49540266328472,99080532656944,198161065313887,396322130627774,792644261255548,1585288522511097,3170577045022194
llama3-8B,BF16/FP16,MQA,1,32768,nan,nan,nan,12385066582118,24770133164236,49540266328472,99080532656944,198161065313887,396322130627774,792644261255548
llama3-70B,BF16/FP16,MQA,1,327680,nan,nan,nan,nan,nan,nan,nan,19816106531389,39632213062777,79264426125555
llama3-405B,BF16/FP16,MQA,1,516096,nan,nan,nan,nan,nan,nan,nan,nan,nan,50326619762257
llama3-1B,FP32,GQA,8,131072,387033330691,774066661382,1548133322765,3096266645529,6192533291059,12385066582118,24770133164236,49540266328472,99080532656944,198161065313887
llama3-8B,FP32,GQA,8,524288,nan,nan,nan,774066661382,1548133322765,3096266645529,6192533291059,12385066582118,24770133164236,49540266328472
llama3-70B,FP32,GQA,8,5242880,nan,nan,nan,nan,nan,nan,nan,1238506658212,2477013316424,4954026632847
llama3-405B,FP32,GQA,8,8257536,nan,nan,nan,nan,nan,nan,nan,nan,nan,3145413735141
llama3-1B,FP32,MHA,64,1048576,48379166336,96758332673,193516665346,387033330691,774066661382,1548133322765,3096266645529,6192533291059,12385066582118,24770133164236
llama3-8B,FP32,MHA,128,8388608,nan,nan,nan,48379166336,96758332673,193516665346,387033330691,774066661382,1548133322765,3096266645529
llama3-70B,FP32,MHA,64,41943040,nan,nan,nan,nan,nan,nan,nan,154813332276,309626664553,619253329106
llama3-405B,FP32,MHA,128,132120576,nan,nan,nan,nan,nan,nan,nan,nan,nan,196588358446
llama3-1B,FP32,MQA,1,16384,3096266645529,6192533291059,12385066582118,24770133164236,49540266328472,99080532656944,198161065313887,396322130627774,792644261255548,1585288522511097
llama3-8B,FP32,MQA,1,65536,nan,nan,nan,6192533291059,12385066582118,24770133164236,49540266328472,99080532656944,198161065313887,396322130627774
llama3-70B,FP32,MQA,1,655360,nan,nan,nan,nan,nan,nan,nan,9908053265694,19816106531389,39632213062777
llama3-405B,FP32,MQA,1,1032192,nan,nan,nan,nan,nan,nan,nan,nan,nan,25163309881129
