Model,Precision,Attention,H_KV,B_token,1 GB,2 GB,4 GB,8 GB,16 GB,32 GB,64 GB,128 GB,256 GB,512 GB
llama3-1B,INT8/FP8,GQA,8,32768,15481333228,30962666455,61925332911,123850665821,247701331642,495402663285,990805326569,1981610653139,3963221306278,7926442612555
llama3-8B,INT8/FP8,GQA,8,131072,nan,nan,nan,30962666455,61925332911,123850665821,247701331642,495402663285,990805326569,1981610653139
llama3-70B,INT8/FP8,GQA,8,1310720,nan,nan,nan,nan,nan,nan,nan,49540266328,99080532657,198161065314
llama3-405B,INT8/FP8,GQA,8,2064384,nan,nan,nan,nan,nan,nan,nan,nan,nan,125816549406
llama3-1B,INT8/FP8,MHA,64,262144,1935166653,3870333307,7740666614,15481333228,30962666455,61925332911,123850665821,247701331642,495402663285,990805326569
llama3-8B,INT8/FP8,MHA,128,2097152,nan,nan,nan,1935166653,3870333307,7740666614,15481333228,30962666455,61925332911,123850665821
llama3-70B,INT8/FP8,MHA,64,10485760,nan,nan,nan,nan,nan,nan,nan,6192533291,12385066582,24770133164
llama3-405B,INT8/FP8,MHA,128,33030144,nan,nan,nan,nan,nan,nan,nan,nan,nan,7863534338
llama3-1B,INT8/FP8,MQA,1,4096,123850665821,247701331642,495402663285,990805326569,1981610653139,3963221306278,7926442612555,15852885225111,31705770450222,63411540900444
llama3-8B,INT8/FP8,MQA,1,16384,nan,nan,nan,247701331642,495402663285,990805326569,1981610653139,3963221306278,7926442612555,15852885225111
llama3-70B,INT8/FP8,MQA,1,163840,nan,nan,nan,nan,nan,nan,nan,396322130628,792644261256,1585288522511
llama3-405B,INT8/FP8,MQA,1,258048,nan,nan,nan,nan,nan,nan,nan,nan,nan,1006532395245
llama3-1B,BF16/FP16,GQA,8,65536,7740666614,15481333228,30962666455,61925332911,123850665821,247701331642,495402663285,990805326569,1981610653139,3963221306278
llama3-8B,BF16/FP16,GQA,8,262144,nan,nan,nan,15481333228,30962666455,61925332911,123850665821,247701331642,495402663285,990805326569
llama3-70B,BF16/FP16,GQA,8,2621440,nan,nan,nan,nan,nan,nan,nan,24770133164,49540266328,99080532657
llama3-405B,BF16/FP16,GQA,8,4128768,nan,nan,nan,nan,nan,nan,nan,nan,nan,62908274703
llama3-1B,BF16/FP16,MHA,64,524288,967583327,1935166653,3870333307,7740666614,15481333228,30962666455,61925332911,123850665821,247701331642,495402663285
llama3-8B,BF16/FP16,MHA,128,4194304,nan,nan,nan,967583327,1935166653,3870333307,7740666614,15481333228,30962666455,61925332911
llama3-70B,BF16/FP16,MHA,64,20971520,nan,nan,nan,nan,nan,nan,nan,3096266646,6192533291,12385066582
llama3-405B,BF16/FP16,MHA,128,66060288,nan,nan,nan,nan,nan,nan,nan,nan,nan,3931767169
llama3-1B,BF16/FP16,MQA,1,8192,61925332911,123850665821,247701331642,495402663285,990805326569,1981610653139,3963221306278,7926442612555,15852885225111,31705770450222
llama3-8B,BF16/FP16,MQA,1,32768,nan,nan,nan,123850665821,247701331642,495402663285,990805326569,1981610653139,3963221306278,7926442612555
llama3-70B,BF16/FP16,MQA,1,327680,nan,nan,nan,nan,nan,nan,nan,198161065314,396322130628,792644261256
llama3-405B,BF16/FP16,MQA,1,516096,nan,nan,nan,nan,nan,nan,nan,nan,nan,503266197623
llama3-1B,FP32,GQA,8,131072,3870333307,7740666614,15481333228,30962666455,61925332911,123850665821,247701331642,495402663285,990805326569,1981610653139
llama3-8B,FP32,GQA,8,524288,nan,nan,nan,7740666614,15481333228,30962666455,61925332911,123850665821,247701331642,495402663285
llama3-70B,FP32,GQA,8,5242880,nan,nan,nan,nan,nan,nan,nan,12385066582,24770133164,49540266328
llama3-405B,FP32,GQA,8,8257536,nan,nan,nan,nan,nan,nan,nan,nan,nan,31454137351
llama3-1B,FP32,MHA,64,1048576,483791663,967583327,1935166653,3870333307,7740666614,15481333228,30962666455,61925332911,123850665821,247701331642
llama3-8B,FP32,MHA,128,8388608,nan,nan,nan,483791663,967583327,1935166653,3870333307,7740666614,15481333228,30962666455
llama3-70B,FP32,MHA,64,41943040,nan,nan,nan,nan,nan,nan,nan,1548133323,3096266646,6192533291
llama3-405B,FP32,MHA,128,132120576,nan,nan,nan,nan,nan,nan,nan,nan,nan,1965883584
llama3-1B,FP32,MQA,1,16384,30962666455,61925332911,123850665821,247701331642,495402663285,990805326569,1981610653139,3963221306278,7926442612555,15852885225111
llama3-8B,FP32,MQA,1,65536,nan,nan,nan,61925332911,123850665821,247701331642,495402663285,990805326569,1981610653139,3963221306278
llama3-70B,FP32,MQA,1,655360,nan,nan,nan,nan,nan,nan,nan,99080532657,198161065314,396322130628
llama3-405B,FP32,MQA,1,1032192,nan,nan,nan,nan,nan,nan,nan,nan,nan,251633098811
